0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(1177.8948974462703, 85.70485943875434, 0)","(409.76500724847256, 248.71069479796725, 0)","(968.7930474052848, 549.6593290851961, 0)","(472.7179309014138, 1466.6085421583439, 0)","(288.4589684941754, 41.34023978032362, 0)","(1194.9031971126085, 790.6851251293429, 0)","(674.5285903136836, 968.1932391081536, 0)","(217.48562852080462, 467.1644248799596, 0)","(782.1990880171644, 401.83806329384765, 0)","(1383.5760374478582, 57.954465585851935, 0)","(1222.9925774432547, 347.65665030131134, 0)","(1099.48448193138, 446.57849176972974, 0)","(425.201792542037, 1162.8763870896164, 0)","(242.97592754560662, 357.4964855939401, 0)","(360.65830724469595, 263.01185273734495, 0)","(716.5146628323376, 1386.205750153979, 0)","(1314.5675307166046, 1259.8027500595572, 0)","(832.727363509568, 311.57151854477553, 0)","(1388.8367194162913, 1440.7745356869143, 0)","(966.5068937634364, 1495.147501452453, 0)"
"(1163.9545785348055, 92.70298686781297, 0)","(433.75109068295063, 252.09583981206222, 0)","(969.6652600071475, 549.5451553300138, 0)","(454.79389793414737, 1466.362717518638, 0)","(293.3988857713798, 57.31667623999203, 0)","(1175.6066366594514, 813.4906033710668, 0)","(683.5760602438457, 971.0787447491228, 0)","(189.96645816426906, 456.75675310660563, 0)","(793.0888135508043, 389.4219705771982, 0)","(1392.4555404542698, 59.54963432273229, 0)","(1228.9656806384512, 340.5537718856679, 0)","(1097.7494290268255, 449.8831634618847, 0)","(426.5520317534901, 1164.5266436197046, 0)","(253.48979109925386, 351.3141575617312, 0)","(366.50332359988164, 266.86218414726403, 0)","(723.0387761239915, 1386.7172029935853, 0)","(1300.0648108190342, 1269.7672274447789, 0)","(804.8749453321705, 308.7763279360586, 0)","(1402.0181025974073, 1467.128919170986, 0)","(963.5200096297889, 1495.1421611412477, 0)"
"(1155.6780371021482, 92.21362877838344, 0)","(431.7672403313441, 251.995984284728, 0)","(970.5980268473244, 549.2069216516763, 0)","(453.8430312174314, 1479.8690147391665, 0)","(293.58469776883464, 56.80037673506769, 0)","(1170.1752363345865, 841.7683538337687, 0)","(687.1617727417788, 972.8021166170025, 0)","(190.97088933204, 464.1083350801625, 0)","(789.5324534441896, 377.5682528332014, 0)","(1390.697956989138, 57.61665561022201, 0)","(1246.5241700901165, 356.82175026287644, 0)","(1097.8227788695465, 451.4269215687157, 0)","(417.6924872863633, 1177.563928804906, 0)","(237.422323202905, 329.6091700826486, 0)","(368.56671517453833, 263.39000679366814, 0)","(725.0182358374112, 1408.7781042080262, 0)","(1317.6647672484983, 1272.4232588781886, 0)","(805.8358144924443, 287.5127122418985, 0)","(1388.016508110939, 1462.848130340335, 0)","(978.6668997008233, 1495.8308110833252, 0)"
"(1160.9139643848375, 98.84234371405587, 0)","(438.5971912304752, 234.79599576918508, 0)","(963.9290777147661, 535.825963655977, 0)","(476.79083260264747, 1474.9540531790965, 0)","(286.7445155516928, 58.81381334873944, 0)","(1146.3330122135972, 858.8226763849941, 0)","(685.9269399366096, 978.9738433378317, 0)","(191.05723269459426, 453.85994599650263, 0)","(775.8421286761437, 370.47153472961475, 0)","(1392.3058404961769, 36.34984450597288, 0)","(1245.1383248966013, 360.34866130381454, 0)","(1101.8464699540004, 466.3891857319286, 0)","(418.8026332132345, 1175.4212116965618, 0)","(237.20230320304884, 328.1642091214432, 0)","(381.55115559339254, 269.6717072626517, 0)","(714.4308784881886, 1398.9933370817562, 0)","(1319.306453589928, 1276.8021744771495, 0)","(787.9415519036612, 272.5846442473052, 0)","(1387.5547512175501, 1447.0786197623534, 0)","(969.0745120296705, 1496.9717530901778, 0)"
"(1167.9685386533192, 107.68925208649071, 0)","(441.57303677600987, 234.88005659108902, 0)","(960.7859370934169, 536.7464496570182, 0)","(469.81262943922223, 1474.4625654032116, 0)","(287.36331116293013, 58.99893322108538, 0)","(1129.1151192830298, 873.4293681071213, 0)","(675.4504992248225, 973.9046724503255, 0)","(199.18258315843363, 455.22421063310276, 0)","(790.2965135184002, 348.23477136980966, 0)","(1399.6153623161215, 11.773285756701782, 0)","(1251.703380251835, 347.68164101365596, 0)","(1100.3565854621313, 468.2595528779532, 0)","(415.27991506524916, 1175.453982926933, 0)","(233.87836980100786, 354.3724022984667, 0)","(392.9162287833801, 250.40426151755057, 0)","(719.5359067766866, 1393.3032985542022, 0)","(1319.2245853705865, 1276.736167315488, 0)","(786.7391711922335, 278.13853235795153, 0)","(1377.4791718079603, 1453.3231634998153, 0)","(966.9606964588185, 1495.8297763852743, 0)"
"(1163.1954144322103, 98.21742436753985, 0)","(430.19253410262496, 257.06202665841363, 0)","(967.1994638755217, 554.7047108375837, 0)","(497.9086991119784, 1484.692487927416, 0)","(279.5547468459106, 57.67897756270579, 0)","(1125.3007816554616, 901.7750987952579, 0)","(683.4275634160894, 977.2360223745006, 0)","(218.0909056856433, 448.9616043604142, 0)","(792.1885034739145, 350.06847382834746, 0)","(1406.714073090089, 9.690311282521325, 0)","(1274.0912008383789, 366.7716298377721, 0)","(1114.2574358758218, 485.03485575735164, 0)","(407.1848257504793, 1188.9560838191712, 0)","(215.8548313823947, 369.9451130515391, 0)","(416.4611568377504, 236.5982710481443, 0)","(715.4006101289319, 1405.8773943271556, 0)","(1307.7078968998896, 1279.934014650091, 0)","(783.9679569917017, 274.797107659155, 0)","(1372.057982989786, 1442.8562956227938, 0)","(979.1668750364041, 1477.7623489473885, 0)"
"(1143.461923886066, 109.25444985462589, 0)","(431.26416460116263, 257.31884600108424, 0)","(971.8522456574889, 541.5234014550663, 0)","(511.19019718411914, 1497.1609851307278, 0)","(272.20510065879023, 46.09441895678923, 0)","(1105.6739434177948, 905.5433686000182, 0)","(680.0036850821923, 952.2605827289829, 0)","(218.56251930704548, 448.2974570645051, 0)","(799.1206290054334, 358.79028967701856, 0)","(1400.8932174826975, 23.550051277987173, 0)","(1268.301252510641, 356.16280596775664, 0)","(1115.8058861484, 495.7176910587545, 0)","(415.1693904727141, 1166.1582133623776, 0)","(218.36659631666163, 387.2718796123397, 0)","(426.49999660034916, 247.1291530563418, 0)","(714.0595901919992, 1413.3592336421027, 0)","(1309.2977450588085, 1288.5203796470744, 0)","(788.0420842050507, 287.1158989019601, 0)","(1367.21860554009, 1443.2378436777828, 0)","(982.2678993702452, 1472.920133825981, 0)"
"(1135.6914517318235, 84.6695263248931, 0)","(443.20350359476777, 246.21265606180592, 0)","(969.7128177243558, 542.2202344847924, 0)","(504.35015503477797, 1491.6697593291374, 0)","(273.5608887940265, 32.589631547588034, 0)","(1119.1919952886642, 915.2172808795892, 0)","(654.6968926133025, 941.6235441438001, 0)","(220.9868222726684, 434.3473747218048, 0)","(806.0630241272556, 359.225802897013, 0)","(1385.0552317548927, 46.96757104963524, 0)","(1268.9442628037664, 358.6379946046077, 0)","(1114.5415998181356, 496.20212530252445, 0)","(394.26978060342935, 1154.8049126551596, 0)","(211.93987340853369, 397.0165940373867, 0)","(449.2432392483413, 240.9382053250501, 0)","(701.8373439244662, 1387.2355062731842, 0)","(1314.6757203422785, 1288.5424198378482, 0)","(788.9804231430613, 287.86316207856584, 0)","(1355.6678008984977, 1432.7491851182954, 0)","(993.0143305768881, 1466.0375902213361, 0)"
"(1119.8438017976073, 61.67309502051025, 0)","(447.3871275443937, 246.11095499772048, 0)","(953.6546244836995, 536.0018251731019, 0)","(484.1595203824681, 1486.957351450883, 0)","(269.94441593335495, 32.81218324680871, 0)","(1114.0807407472737, 903.9169560380017, 0)","(655.4075201331133, 940.6173598112268, 0)","(217.4641018625361, 462.246628874175, 0)","(806.8270098987945, 354.40355817684855, 0)","(1384.3891730009757, 51.695121049444396, 0)","(1268.493832193088, 352.7649156924835, 0)","(1100.6709078249683, 473.77271119764157, 0)","(403.06372931496475, 1152.2112249591983, 0)","(213.46790313858293, 396.14460144819293, 0)","(431.0983013967925, 238.54731263816385, 0)","(688.7548684616356, 1364.410193285626, 0)","(1339.2426348167658, 1277.1603921521419, 0)","(790.7713206106336, 291.5051613152012, 0)","(1353.5286380530863, 1406.9771309393561, 0)","(976.9980088112801, 1461.5279919182317, 0)"
"(1112.1073629733137, 54.04915528317815, 0)","(435.15673361273775, 253.28017341130237, 0)","(932.935694427926, 553.3835079213426, 0)","(465.7909437748027, 1480.4992726084947, 0)","(269.8870784504295, 31.259716784340952, 0)","(1088.8920650360733, 901.9270753092729, 0)","(653.0539405878918, 936.3745681681288, 0)","(217.2342048029777, 461.6288865900275, 0)","(810.6678493043498, 356.21689140884723, 0)","(1367.3398434861347, 43.62490589724811, 0)","(1268.792922009754, 352.4651385635148, 0)","(1098.1563281763788, 472.8219208084363, 0)","(423.637748869609, 1134.1901726612523, 0)","(221.85614815609824, 404.40610828077575, 0)","(449.2371902310346, 224.08123792871618, 0)","(689.4536812488709, 1357.6947960497807, 0)","(1347.1965284362911, 1294.1719904095692, 0)","(799.6767687830558, 302.3778268765899, 0)","(1356.904213728773, 1407.8451481892025, 0)","(958.2435366471299, 1470.6081640830619, 0)"
