0,1,2,3,4,5,6,7,8,9,10,11
"(155.98707658628985, 15.873842596431142, 0)","(86.79652558192193, 88.85680429466296, 0)","(32.12672018353391, 85.02503513058228, 0)","(18.082730157518107, 0.07405805637673607, 0)","(140.6546330758028, 36.832491187489566, 0)","(31.834461012042567, 47.9642725331646, 0)","(89.17720537354784, 42.228744325803696, 0)","(168.72065190285502, 53.78778163340047, 0)","(91.35574627385625, 21.719931098285336, 0)","(25.871173296210195, 103.03284214784655, 0)","(133.8703436027367, 13.899006161206046, 0)","(44.64206182852748, 26.274970438448555, 0)"
"(157.0734143421543, 13.857986615968775, 0)","(84.80358569816119, 90.96515277734073, 0)","(33.38052082144576, 92.0641649632114, 0)","(3.7564178065942038, 9.845176492912492, 0)","(155.96446134221895, 38.014093545344096, 0)","(25.669999810614968, 45.59139091933146, 0)","(94.03566236778354, 40.269841694016414, 0)","(170.07916567554668, 49.70680554578149, 0)","(79.32344976888588, 18.178200126089816, 0)","(26.295734523104624, 100.84208682796664, 0)","(132.13922175486434, 18.87743153368965, 0)","(39.29933691350481, 13.648193464890404, 0)"
"(174.01717417901452, 14.895905038994933, 0)","(84.21528820556293, 90.76282159245369, 0)","(29.677396325641524, 88.59632252719328, 0)","(4.428354848798677, 21.160119701836454, 0)","(156.036035764301, 37.91189757617836, 0)","(26.09859775489165, 45.93843319702018, 0)","(92.29374834919693, 41.21959095636349, 0)","(185.43632049872974, 45.38470014866744, 0)","(61.8829406694406, 10.89586806804148, 0)","(25.25862860274875, 98.10255983176539, 0)","(135.70548516459203, 34.98441090412827, 0)","(36.09863381798055, 20.555118604627385, 0)"
"(162.45593865093792, 27.508707022758912, 0)","(79.57413318151686, 85.50941248117874, 0)","(26.910354680950554, 84.30680103716796, 0)","(16.186564603316594, 7.170846776505835, 0)","(170.45301515256577, 38.54717254362448, 0)","(25.85540748797368, 46.389678897698346, 0)","(85.14063659995338, 49.15910867447725, 0)","(185.47427654150306, 45.43356137953841, 0)","(62.85645684347877, 6.908969901393984, 0)","(22.152115406501405, 107.6210577802034, 0)","(142.57213299673168, 32.29284313276313, 0)","(34.08778022495088, 25.789701328547324, 0)"
"(171.85501166085012, 29.538965427541566, 0)","(86.35291524120271, 98.19276743664005, 0)","(29.4593928157826, 91.77528438898129, 0)","(19.583638400084002, 10.755021210849284, 0)","(166.1796204354668, 26.724092870390987, 0)","(28.367519481719434, 43.65959281315303, 0)","(78.49732867544977, 60.449350970130006, 0)","(192.6233670721302, 61.161654529546965, 0)","(65.19671145302435, 15.552356685334287, 0)","(17.900568817080327, 101.40237806433309, 0)","(154.23890611753316, 37.29139238485461, 0)","(33.640775234593576, 29.281894174905275, 0)"
"(164.90100867294134, 27.51558824833713, 0)","(86.60099071124877, 95.58281441310899, 0)","(26.241597407015362, 94.31225025383192, 0)","(16.59039442428994, 15.462350321419155, 0)","(167.79170033902892, 25.78803962746524, 0)","(25.433923510884338, 38.58344387286173, 0)","(72.07496086298035, 61.65664562312605, 0)","(198.0422047492828, 58.234660715548976, 0)","(65.79209518328183, 9.219463106684938, 0)","(18.844745747924495, 107.48461310706539, 0)","(164.12147886715513, 24.76967243888296, 0)","(36.78724440849723, 29.583085828623965, 0)"
"(162.1093166147504, 37.04859658848356, 0)","(93.56216852321896, 96.81692453304511, 0)","(35.057974363602966, 107.85852001713236, 0)","(9.302022720140442, 16.06434464142718, 0)","(167.18719315466873, 22.206257845369535, 0)","(26.338978838647954, 21.162536993717694, 0)","(91.83326550884479, 58.61507992599892, 0)","(196.24416759413842, 57.028451017901915, 0)","(65.63336581421412, 22.802977481427575, 0)","(13.33902248953611, 105.23247915541806, 0)","(158.54689203157903, 28.016756659302192, 0)","(34.4570518194623, 29.758984532126313, 0)"
"(163.07640373141427, 21.28817847912758, 0)","(93.00963342081774, 96.17647011700181, 0)","(53.13248132786035, 106.76367219243167, 0)","(8.314054592774914, 32.66032949432248, 0)","(167.23576908464682, 17.953068806993723, 0)","(16.01251061266951, 4.423819946321238, 0)","(91.86059408305553, 58.743575907023974, 0)","(190.90811310805978, 48.59606332828525, 0)","(64.98682796557668, 22.410475953056146, 0)","(28.5513423318749, 105.79560433470364, 0)","(168.7598350551112, 39.25062385093319, 0)","(31.101587277242952, 44.30639608366553, 0)"
"(158.15975190571854, 30.89332603960682, 0)","(89.30934966959727, 86.26667982336382, 0)","(43.359537402162715, 106.09237519860544, 0)","(17.12419897773016, 43.652215975342195, 0)","(161.59466608946985, 16.500637830445996, 0)","(23.486258932005335, 2.058889231325792, 0)","(110.40705121208599, 61.65178857915044, 0)","(184.74765296547324, 45.21690345014957, 0)","(50.202743940255175, 14.482219606415335, 0)","(36.98000960654028, 103.26141459655341, 0)","(157.86211781725586, 48.999361247352795, 0)","(27.325153934511846, 50.509622841938686, 0)"
"(158.017353995943, 30.9649289721682, 0)","(94.18836737880399, 77.74266716018438, 0)","(30.110108429732264, 107.91481208927723, 0)","(17.429067243303933, 35.73096837883455, 0)","(177.6277772594407, 9.454085303512171, 0)","(23.487939165236536, 2.059319485582762, 0)","(110.31925691951062, 61.05572108525095, 0)","(185.2768799717801, 46.351391621587844, 0)","(41.99661611412651, 12.272318145865205, 0)","(38.48447053898973, 115.06159482988879, 0)","(153.14844792342706, 38.3875697129554, 0)","(23.570569659718004, 58.445462764264065, 0)"
