0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(176.3368565182599, 146.335619983514, 0)","(122.81099808506123, 123.41285018556425, 0)","(145.84266571334743, 93.25824102388623, 0)","(47.080063758186, 89.84949563989733, 0)","(12.99052037870668, 139.9992245032431, 0)","(1.3616405300867003, 53.98684724055657, 0)","(6.998865009943746, 118.86469771902384, 0)","(190.39446711429906, 158.38860545327216, 0)","(187.2527385456284, 33.5148605528167, 0)","(20.569803512703547, 135.22298568118495, 0)","(77.87960033496289, 116.18146007549217, 0)","(23.257543627098578, 146.51831760219824, 0)","(192.68030879336538, 118.39355096669416, 0)","(182.9511168145364, 118.62717981226166, 0)","(3.720638374895981, 77.28884898984865, 0)","(30.784431339647657, 17.43712932299699, 0)","(125.60312491947371, 11.861690665487382, 0)","(195.83394962726246, 84.70873312385031, 0)","(81.9692964287738, 68.87752186297324, 0)","(130.05328642662693, 125.52781867905647, 0)"
"(177.60139029922536, 144.18948809215232, 0)","(129.01152342040027, 118.97261785983584, 0)","(147.65274016262043, 94.29390695973495, 0)","(45.75484110751222, 88.79712951350918, 0)","(5.87989555655377, 132.4480449232601, 0)","(3.2037581517208498, 48.427799604070636, 0)","(32.93502514463755, 118.21275802237298, 0)","(182.04234833006177, 166.89941719621476, 0)","(191.45524228974756, 32.121958628965444, 0)","(10.65307179047724, 149.38262706511338, 0)","(74.53196013175007, 115.18732022236864, 0)","(22.784388102240033, 144.7509994476678, 0)","(167.23614664851937, 102.95405278300815, 0)","(157.25081887101038, 106.28551417370831, 0)","(1.431183978267034, 56.95712142213193, 0)","(34.1860438930508, 11.697191750084952, 0)","(99.07542669491195, 3.9378440933411687, 0)","(192.18546683888187, 90.96762214901884, 0)","(81.38097140275735, 69.41460459321593, 0)","(137.2764393474906, 137.58812132098683, 0)"
"(177.56799683247388, 149.6832623368386, 0)","(127.2412118448892, 125.81697202933134, 0)","(148.09333509969545, 97.83618163087529, 0)","(46.42352793899143, 93.86264682865432, 0)","(19.87966912803033, 129.79015112989265, 0)","(1.0538423698927097, 48.62564273356047, 0)","(6.1193792807742575, 130.8423193753725, 0)","(187.310441143993, 165.17736125075055, 0)","(199.47590409027435, 52.86843998449749, 0)","(9.653077988832164, 162.22257159264623, 0)","(76.56866908576771, 97.12991066308057, 0)","(1.226046390631538, 153.86651449761848, 0)","(169.73411012727516, 103.60404826563553, 0)","(151.80834986339426, 104.81768485426903, 0)","(4.45286810406726, 66.00437731855408, 0)","(43.01893114885901, 13.664555139935086, 0)","(97.6337072708331, 1.1237492254988228, 0)","(189.15465101072922, 90.10910377442539, 0)","(68.78768578806898, 84.82389536015216, 0)","(125.9631711831858, 124.0859897729724, 0)"
"(176.4995062191195, 147.88996608008028, 0)","(129.09788099981068, 136.54040984184215, 0)","(170.20268334452066, 105.57252856362759, 0)","(49.35867036874789, 89.48813465427043, 0)","(23.083843732194143, 108.33623731835397, 0)","(4.642220695581253, 56.88538192447919, 0)","(14.088083235015407, 125.54484806748893, 0)","(186.5351361133195, 183.0228449245071, 0)","(199.17817611412661, 51.87211609044594, 0)","(8.315617077561965, 157.52297987216173, 0)","(63.440951712169955, 94.31556045763328, 0)","(27.21054736443064, 144.15639621156672, 0)","(166.03466970234436, 95.1291290039474, 0)","(148.72346723070834, 110.56793250764433, 0)","(8.251284796513705, 76.41194997565825, 0)","(56.54429399638887, 30.922717344642763, 0)","(87.97963311642779, 5.4024281898539, 0)","(184.88270219415008, 95.69326853287473, 0)","(79.37318345168266, 102.94361524835938, 0)","(133.11829595156846, 123.9140567012979, 0)"
"(174.5454088608842, 123.93779698716713, 0)","(136.25411298135802, 142.42656270258183, 0)","(159.19712049382562, 103.20820903944252, 0)","(68.32575962930687, 90.52287765250638, 0)","(36.90800902626278, 96.51028601211718, 0)","(6.1931237712172775, 60.549822665614364, 0)","(30.939984774549465, 116.9164002519627, 0)","(196.74761944045736, 186.15321545571666, 0)","(185.41708350294275, 37.85697796599263, 0)","(14.568291590969348, 151.21164823975064, 0)","(47.90745748222375, 97.44706146568345, 0)","(27.080806227884988, 147.5851519436134, 0)","(187.49184157604913, 107.85696358075441, 0)","(156.058743649545, 104.18165492583145, 0)","(3.146211472533391, 105.48129769424456, 0)","(77.07610138149147, 20.047757751162052, 0)","(88.88883442682595, 2.351179427609922, 0)","(184.70324788439996, 95.47890053053084, 0)","(81.02087952357815, 102.0627488286547, 0)","(135.55332832523268, 126.39188063170208, 0)"
"(188.2540134097931, 127.66024282619315, 0)","(136.08139096237363, 143.62601477321792, 0)","(156.95582439851768, 106.18187273930235, 0)","(53.893753862806896, 96.85315198594425, 0)","(66.55683809812005, 100.83657563867888, 0)","(10.614384970851154, 73.6011428779855, 0)","(29.240503432114167, 117.30297130779351, 0)","(192.30857306873057, 159.04223289301117, 0)","(185.4382084580181, 37.85766521988963, 0)","(25.586250397426795, 142.27853776862463, 0)","(38.113611410073815, 97.11752311348839, 0)","(24.631062792346874, 141.29039374542612, 0)","(189.64831607784495, 115.38996493117928, 0)","(152.75316619252948, 92.83847030510239, 0)","(27.258605468995963, 114.59563691395643, 0)","(54.94508960793061, 10.520639448613057, 0)","(94.88431933314875, 7.631658823964245, 0)","(183.01463705253056, 101.5835784982751, 0)","(85.07734020190638, 105.02771551274884, 0)","(137.262601453653, 128.82000839362757, 0)"
"(167.96167795846142, 111.94688486669722, 0)","(127.74478661571612, 141.80801205166955, 0)","(170.9891217314264, 94.09942489189184, 0)","(54.26220406312274, 97.24654483171011, 0)","(67.9235468117512, 106.83490687742596, 0)","(21.84901767668388, 92.5299261100431, 0)","(16.678338399253963, 95.61071693356705, 0)","(186.48551552882236, 161.4962498681401, 0)","(197.60102771971683, 44.88534557254137, 0)","(21.611033014316273, 146.30739594145444, 0)","(43.087590379125324, 93.43900039715624, 0)","(33.787196040419474, 144.13288753845336, 0)","(176.95374945064032, 104.14019585597318, 0)","(163.52707982221256, 97.5812675719346, 0)","(27.208391625969973, 112.41890817424775, 0)","(52.17632375021712, 14.969654191097032, 0)","(74.62327243257853, 24.650519561708514, 0)","(177.77883608606453, 93.05368589797538, 0)","(73.82693099141709, 113.93810678455908, 0)","(141.33039532421063, 127.08032776979384, 0)"
"(172.45376264154578, 140.4475827590194, 0)","(131.53900275069913, 141.47679650809275, 0)","(194.63333511425117, 103.63769381593107, 0)","(73.87645324508478, 102.76358709242695, 0)","(66.73455992932668, 107.81988851835655, 0)","(22.74638014763375, 106.41912030369693, 0)","(7.71879552882257, 96.19903212274458, 0)","(181.18980466943324, 164.03534971956356, 0)","(183.70618098210662, 41.868469618612664, 0)","(7.62253508934087, 163.14395243421765, 0)","(29.191541406340292, 117.18604136369026, 0)","(21.965198424012446, 137.2556077682587, 0)","(181.1009696312479, 99.67092177172906, 0)","(166.84946285288487, 101.28582399727387, 0)","(44.144475579295104, 95.25404151636809, 0)","(37.463292797607345, 21.57375530437627, 0)","(66.6483196705791, 27.775958062236096, 0)","(177.1738368411397, 65.03669134030693, 0)","(69.53964252460588, 110.09752164250956, 0)","(141.88278419444399, 128.5148020623328, 0)"
"(181.01123583963127, 165.36144085996975, 0)","(107.92461712376861, 126.4255062093798, 0)","(190.55294807615988, 112.70972352236183, 0)","(68.67538891018373, 83.66726728099881, 0)","(73.8575573489768, 88.08422823015587, 0)","(33.864058386345526, 130.9348657542818, 0)","(3.0432328026336153, 94.95072477795112, 0)","(174.66513495272866, 144.49346976070703, 0)","(184.593756004068, 39.60151350589331, 0)","(2.532994367094938, 137.43189269933504, 0)","(29.009697020039518, 116.21588737505141, 0)","(26.457002999371774, 142.76991728873972, 0)","(174.63612136585888, 126.94178038400187, 0)","(160.63677347394042, 104.2042257867221, 0)","(63.41736189303106, 90.46941964806494, 0)","(55.44666870363159, 3.739451005240216, 0)","(52.101695151544014, 36.565779987855535, 0)","(174.48842068489543, 51.83684181955883, 0)","(74.49301170368494, 95.4164397612877, 0)","(113.68710098157939, 120.64244596785008, 0)"
"(180.16530161797243, 167.16744722387395, 0)","(128.6344042371763, 133.17085073068577, 0)","(195.92195838193996, 91.74241737600187, 0)","(97.27567740946103, 77.0782381585349, 0)","(73.69302134751426, 88.77498837498341, 0)","(30.71202440398207, 118.71945996904239, 0)","(10.522639838815103, 100.97883179567056, 0)","(175.80532891918472, 144.38999984024647, 0)","(193.6373178810368, 58.582197355770845, 0)","(0.8212830465101248, 138.03589792876522, 0)","(31.142242925247626, 128.58501680448077, 0)","(13.54020467671279, 133.3997484965404, 0)","(194.1860733234699, 128.2056325042551, 0)","(159.16716928240402, 99.06542944684001, 0)","(44.07162151104408, 83.0418181693967, 0)","(72.27821191722988, 27.9269660152606, 0)","(43.66105628161199, 31.66575445893814, 0)","(186.66908482871946, 63.6078528911647, 0)","(72.21333119680288, 92.06579299749413, 0)","(129.3812445461792, 145.84346531196752, 0)"
