0,1,2,3,4,5,6,7,8,9,10,11
"(89.6408134719873, 88.23712502000213, 0)","(105.2030714757903, 74.07706320077972, 0)","(5.986482932461872, 51.37683926916659, 0)","(103.80275230535977, 26.58219563791532, 0)","(59.297545913600075, 119.97408500434612, 0)","(33.13030239455928, 68.65403800596081, 0)","(183.72450905902116, 49.9706649951382, 0)","(177.3416975221422, 25.88297104611189, 0)","(13.881156938653458, 107.36803418528802, 0)","(29.266362271806514, 51.846195044845885, 0)","(35.16190046517536, 97.44242215926063, 0)","(45.432333553267995, 1.8851225039171178, 0)"
"(62.196476053529565, 83.85040907741161, 0)","(99.3727525114864, 76.07261380865492, 0)","(23.903052454411565, 34.564100838622636, 0)","(84.1421354376868, 19.347045563845437, 0)","(67.38129075041846, 121.01688648749357, 0)","(37.292961828708, 52.99018800618394, 0)","(189.25678071008988, 49.33524381597782, 0)","(149.61644811929628, 32.89133935261372, 0)","(14.150798260464912, 100.37721222790337, 0)","(26.75302477767308, 43.312830263180764, 0)","(31.799107455078428, 118.7083046241647, 0)","(35.562137367616515, 20.27019921342472, 0)"
"(68.41530345297137, 103.3899534084896, 0)","(82.65069293222597, 62.626671434973964, 0)","(29.76398483197582, 28.83124038470225, 0)","(92.12485799958438, 7.465202868711637, 0)","(59.854117703015895, 94.31228953644319, 0)","(23.400427875892447, 50.16670129998454, 0)","(190.36628835617097, 52.20999249467689, 0)","(149.9063056641481, 31.756543719783224, 0)","(23.382040102981325, 108.03246142841414, 0)","(44.11594669018335, 35.791910234805044, 0)","(45.50361871462354, 133.03393426535303, 0)","(45.74135900809007, 17.141685901905465, 0)"
"(77.25810052204842, 121.27518932242371, 0)","(95.20846910457283, 46.03870512242185, 0)","(36.4516794522227, 2.324861521387927, 0)","(93.66544323770242, 5.38253369624241, 0)","(56.544420338091584, 85.53181500927205, 0)","(13.18397406670136, 31.298116982117502, 0)","(194.5956446160417, 54.307742358959025, 0)","(149.43757542277808, 33.20546366782555, 0)","(4.5805631690185, 126.9807133951833, 0)","(34.37097141272203, 43.132067910225345, 0)","(24.65486426186911, 125.09271717343644, 0)","(48.0366647370511, 9.56192722405589, 0)"
"(73.77562487728268, 119.73357104008363, 0)","(108.66888588626128, 52.835845820412544, 0)","(38.01742143839102, 2.4649721865226826, 0)","(101.29528803440584, 16.844061760921143, 0)","(48.36695294115865, 97.92233327989086, 0)","(7.103355239102375, 29.67948328138516, 0)","(170.12377438527153, 46.02641884493576, 0)","(137.09817228638698, 24.04420125801596, 0)","(14.230202652919198, 147.59525843292755, 0)","(28.564172081879967, 40.45558117763384, 0)","(29.51059613307933, 106.64061788226148, 0)","(33.47668095817538, 10.539156004797258, 0)"
"(68.25553419209406, 144.65993998570028, 0)","(103.1972852799591, 62.525825974056666, 0)","(35.95775342322176, 6.974045930572689, 0)","(98.79185658079878, 9.528501517983955, 0)","(73.28104839302944, 89.20240586233452, 0)","(17.125614609165435, 32.61349812059697, 0)","(178.96439973559893, 41.24234293160414, 0)","(152.18161778433958, 49.13899993417719, 0)","(12.472171575114226, 136.2599570804792, 0)","(34.139641145175176, 39.40839084053209, 0)","(30.677410078623588, 107.74531481000012, 0)","(34.175035326686114, 11.068307260141637, 0)"
"(63.70812314680784, 126.28765136339175, 0)","(104.21198922938636, 32.777146383042485, 0)","(14.349172664984724, 24.61034096834372, 0)","(100.3878621840753, 23.896609610427763, 0)","(74.30305593638771, 65.03123281274034, 0)","(1.1908192485523283, 31.264609359804737, 0)","(185.66503004204577, 54.86216355509339, 0)","(157.41798214842674, 53.242560838879136, 0)","(13.893866925700124, 146.3787907567449, 0)","(7.054937150160498, 38.318775298597124, 0)","(20.48839587840127, 108.54787409958215, 0)","(34.651817181547905, 23.567564482207086, 0)"
"(87.89384579543736, 111.31954177319642, 0)","(106.01584100552829, 16.47946335998872, 0)","(13.08876447173665, 24.7020113920442, 0)","(100.72204939458304, 24.290897701222402, 0)","(89.14676780556726, 69.73986221257177, 0)","(3.7148960253502343, 29.99338546555443, 0)","(183.2440363414142, 57.89662868841078, 0)","(159.24775382208, 61.719438476652826, 0)","(16.598739942651726, 151.12877317591565, 0)","(14.70054392953897, 30.50079310080091, 0)","(27.779494153508402, 106.19689643425512, 0)","(37.507860723387715, 38.40761869864946, 0)"
"(106.14637088209919, 93.19099382813617, 0)","(91.85807623249282, 38.512577234107056, 0)","(32.88636830821775, 35.80620976280198, 0)","(123.6063123693587, 22.75548155413829, 0)","(88.00791587234947, 69.06625853084208, 0)","(1.5617543864562502, 39.88431573115023, 0)","(190.60420900575755, 47.85584467113677, 0)","(159.3773459532992, 65.01200462104771, 0)","(25.463332981662322, 157.65449054196154, 0)","(9.451048694530002, 53.62630322392424, 0)","(39.43420257901975, 132.60465967353156, 0)","(24.800620075452578, 40.63906936515577, 0)"
"(78.41033403965213, 92.25445872308133, 0)","(99.67220759616107, 28.84785242864364, 0)","(8.302002705546162, 32.315823242360224, 0)","(103.58426062120243, 32.9314818988471, 0)","(107.04012982597064, 88.63060028039669, 0)","(6.631947961110631, 13.053155139924158, 0)","(193.67242182930121, 52.95935398113028, 0)","(142.83965879051732, 59.90996785145599, 0)","(25.658919186061606, 164.58371211802063, 0)","(33.72414023237056, 52.16125255904685, 0)","(41.92701804190325, 132.61119748640493, 0)","(30.73408088206738, 55.837531068223115, 0)"
